source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MCF7,Fibroblast,COL6A3,ITGA2_ITGB1,1.4849589,0.107,1.1500268,0.014034992728115819,0.1201896859285172,0.12034368,0.9631924,0.018223961952497796,0.7582427104808888
MCF10A,MCF10A,FN1,ITGA2,0.73054546,1.0,0.45539138,-0.02718274680365241,-0.15384823334427966,0.11605146,0.94274926,1.0,0.758577396496054
Fibroblast,Fibroblast,PKM,CD44,0.69590485,0.494,0.4842648,6.223016126654475e-05,0.08954861240138845,0.11223549,0.9443858,0.4950861793500299,0.758577396496054
MCF10A,MCF7,SPARC,ENG,1.1400747,0.99,0.8017564,-0.021429098720469948,-0.12906829486956428,0.113815166,0.9562356,0.8621811481469658,0.758577396496054
MCF10A,MCF10A,TNC,ITGA2,0.490946,0.975,0.23940942,-0.015742251029471722,-0.13856711932206012,0.11461425,0.92271835,0.9930915578118084,0.762588144753218
MCF7,MCF7,PKM,CD44,0.6922312,0.559,0.46901825,-0.0027142958862708295,-0.14186822229788465,0.10870186,0.94353974,1.0,0.776355783474557
MCF10A,Fibroblast,SPARC,ENG,1.1401618,0.999,0.8020774,-0.021362265078651504,1.3848675526784149e-05,0.11386074,0.95624393,1.0,0.776355783474557
MCF7,MCF10A,COL6A3,ITGA2_ITGB1,1.4814212,0.144,1.1322528,0.011310772485885627,-0.007726976418491516,0.11848373,0.9629153,0.1205632716049383,0.7777778175142078
MCF7,MCF10A,COL3A1,ITGA2_ITGB1,0.72557205,1.0,0.4509082,-0.03706266052440704,-0.1950823733907956,0.108882666,0.94248164,1.0,0.7944097980237856
Fibroblast,MCF7,SPARC,ENG,1.1943104,0.327,0.8488734,0.0034922241780008722,0.06469889381634686,0.120503776,0.95741504,0.028899046323603562,0.7944097980237856
MCF10A,Fibroblast,COL6A3,ITGA2_ITGB1,1.4583433,0.385,1.125658,0.00219518772853841,0.07085910567807097,0.11779363,0.9628109,0.08995963543803061,0.7974569806425327
MCF10A,Fibroblast,COL4A2,ITGA2_ITGB1,0.49065176,0.156,0.23965925,0.006002484413586374,0.07115638713213701,0.11951837,0.92275554,0.034127626067577285,0.7986747296347363
Fibroblast,Fibroblast,SPARC,ENG,1.1943973,0.0,0.8492133,0.003559057819819314,0.19378103736143792,0.120552026,0.9574232,0.014435084781664283,0.8127417849494731
MCF10A,Fibroblast,COL6A2,ITGA2_ITGB1,0.7139951,1.0,0.4441479,-0.03385892638009626,-0.07450936680799924,0.117057756,0.94207084,1.0,0.8127417849494731
MCF7,MCF7,COL4A1,CD44,0.6867004,0.403,0.46247637,0.0032803928679204786,-0.12723487575597203,0.112161286,0.94316447,0.8136199524042222,0.8127417849494731
Fibroblast,MCF10A,COL6A3,ITGA2_ITGB1,1.4508699,0.675,1.104713,-0.0022761180114426747,-0.04741972054909671,0.11560184,0.96247315,0.23096135650662852,0.8313534186726805
MCF7,Fibroblast,COL4A2,ITGA2_ITGB1,0.49176967,0.256,0.24068278,0.006822063507273225,0.05770318218074255,0.12002881,0.9229073,0.034127626067577285,0.8343711931169535
Fibroblast,Fibroblast,COL6A3,ITGA2_ITGB1,1.4544076,0.415,1.1220546,0.00044810223078751743,0.080496941797912,0.117416546,0.9627534,0.10442265499576436,0.8372309902223697
MCF10A,MCF10A,COL6A3,ITGA2_ITGB1,1.4548056,0.512,1.1082606,-0.0005290325136917818,-0.05705755666893775,0.11597309,0.96253103,0.3027432245730762,0.8372309902223697
Fibroblast,Fibroblast,COL4A1,CD44,0.6827973,0.175,0.46613517,0.000674001558176433,0.1222523888398821,0.11304863,0.9433753,0.26283210210605723,0.850247040609008
MCF10A,MCF10A,COL6A2,ITGA2_ITGB1,0.7104575,1.0,0.4372835,-0.03658314662232645,-0.20242602915500796,0.11524859,0.9416444,1.0,0.8694247709639951
MCF10A,MCF7,PKM,CD44,0.67868984,0.81,0.45300138,-0.01133238711486988,-0.1336615731343589,0.10498973,0.9426071,1.0,0.8694247709639951
MCF10A,Fibroblast,TNC,ITGA2,0.49448365,0.981,0.24316765,-0.01301803078724153,-0.010650456975051403,0.11641345,0.92327195,0.5728136154437418,0.8696796554247427
MCF10A,MCF10A,COL4A1,CD44,0.664918,0.901,0.44066367,-0.01083684724330639,-0.11648776772272562,0.106871195,0.94185555,1.0,0.8888889683617509
