source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MCF7,Fibroblast,COL6A1,CD44,0.7610738,0.996,0.570765,-0.011947751354980447,0.028046105647684172,0.120605536,0.945958,0.8031001161122872,0.5771176324269327
MCF10A,Fibroblast,FN1,ITGA2,0.71102583,0.24,0.421743,0.01403568935018708,0.13442744425075848,0.13084711,0.93768114,0.008098347191760667,0.5771176324269327
MCF10A,MCF7,COL4A1,CD44,0.68705237,0.51,0.46665275,-0.0019396953860471126,-0.08477006704171774,0.11761859,0.940573,0.505925,0.5771176324269327
MCF10A,Fibroblast,COL1A2,ITGA2_ITGB1,1.6114367,0.505,1.1808219,0.0007207778410763283,0.11786852487516297,0.12762468,0.96179855,0.03153604864546542,0.5804988710537251
MCF10A,Fibroblast,COL6A3,CD44,1.3457198,0.902,1.35308,-0.022921225007613063,0.004489818092946685,0.116484076,0.96422297,0.601522028891469,0.5804988710537251
MCF10A,MCF10A,FN1,CD44,0.79266244,0.667,0.58510333,-0.013924624763482172,-0.09825904913459893,0.10846101,0.9465887,1.0,0.590857945374133
MCF10A,MCF10A,COL6A1,CD44,0.67965466,0.989,0.4529314,-0.06336925715252034,-0.2205651155671542,0.09570669,0.9397334,1.0,0.590857945374133
MCF7,Fibroblast,COL1A2,ITGA2_ITGB1,1.5453761,1.0,1.1251304,-0.029541594494748885,-0.00015645228972038794,0.12160546,0.960901,1.0,0.5971391631279066
MCF7,MCF7,COL6A3,CD44,1.3359865,1.0,1.2630869,-0.03313929131358698,-0.13919747457382825,0.10873674,0.96301675,1.0,0.5971391631279066
Fibroblast,MCF7,FN1,CD44,0.78758025,0.999,0.5900302,-0.015553816239326838,-0.04063863919687316,0.109374315,0.9468003,1.0,0.6048146365644322
Fibroblast,MCF7,COL3A1,ITGA2_ITGB1,0.7336461,0.988,0.4160038,-0.012098777713232627,-0.03579401236994828,0.11824513,0.9372796,0.943877374631194,0.6048146365644322
MCF7,MCF7,TNC,ITGA2,0.43962795,1.0,0.19018139,-0.02448030121406871,-0.19360716544334267,0.10980382,0.90994275,1.0,0.6080961504734431
MCF7,MCF10A,COL6A3,CD44,1.3215582,0.993,1.2036906,-0.042779871647245456,-0.15344175131689108,0.10362341,0.9621494,1.0,0.6139383579830228
MCF10A,MCF7,COL6A2,CD44,0.7884777,0.795,0.5911317,-0.01826946733946133,-0.17664005293636897,0.11073828,0.9468472,1.0,0.6189893964512956
MCF7,MCF10A,PKM,CD44,0.67821586,0.687,0.45124862,-0.010160487687183722,-0.1296057701385549,0.10583186,0.9396279,1.0,0.6189893964512956
Fibroblast,Fibroblast,COL6A2,ITGA2_ITGB1,0.698308,0.0,0.41102138,0.0034401181628432803,0.19596639013439465,0.12887038,0.9369245,0.003200192951301141,0.6189893964512956
Fibroblast,MCF7,COL1A2,ITGA2_ITGB1,1.602791,0.935,1.0835557,-0.010035683479896787,0.003239154410934919,0.117112026,0.96018755,0.35407417526125273,0.6308930747121423
MCF10A,MCF7,COL6A3,CD44,1.3180187,0.971,1.2410351,-0.041431233681275034,-0.21977380718874406,0.10683833,0.9627018,1.0,0.6308930747121423
MCF10A,Fibroblast,COL6A2,ITGA2_ITGB1,0.6924128,0.507,0.40605155,5.026644054944218e-05,0.0418021637059256,0.12731215,0.9365641,0.03372905952420103,0.6333841056922743
Fibroblast,MCF7,COL6A2,CD44,0.7943729,0.998,0.5983668,-0.014879615617167495,-0.02247582650789992,0.11209365,0.9471525,1.0,0.6333841056922743
MCF10A,Fibroblast,COL5A2,ITGA2_ITGB1,0.437614,0.332,0.19124693,0.009035006400203424,0.1520152603537983,0.13511394,0.9101715,0.009754610577655844,0.6430990858676455
MCF10A,MCF10A,COL6A3,CD44,1.3035903,0.971,1.1826757,-0.05107181401493351,-0.2340180839318069,0.101814285,0.96182734,1.0,0.648000045061112
MCF10A,MCF7,COL1A2,ITGA2_ITGB1,1.5926917,0.676,1.0757989,-0.014655897829432777,-0.08659715274403812,0.11627366,0.96005005,0.6942608018577967,0.648000045061112
Fibroblast,Fibroblast,COL6A1,CD44,0.7877914,0.0,0.6065158,0.0038764080003483867,0.20055988509982958,0.12815987,0.94749004,0.0015769431732805133,0.6480000772476229
Fibroblast,Fibroblast,FN1,ITGA2,0.6915153,0.0,0.40529492,0.0027659175406839383,0.1778035774454214,0.12574404,0.93650866,0.007001955126015984,0.6480000772476229
MCF10A,MCF7,COL3A1,ITGA2_ITGB1,0.7096026,0.841,0.39753702,-0.025449301760347626,-0.159846359562954,0.112996124,0.9359316,1.0,0.6628391888820996
MCF10A,MCF7,FN1,CD44,0.80709076,0.537,0.61397535,-0.0042840444298236965,-0.0840147723915361,0.11381304,0.9477933,0.6374240847619699,0.6628391888820996
Fibroblast,Fibroblast,MMP1,ITGA2,0.4430036,0.0,0.19579057,0.0035334082315183965,0.16509935396670605,0.13607103,0.91112673,0.0028680008196161465,0.6777588012249597
MCF10A,MCF10A,COL4A1,CD44,0.67262405,0.667,0.44470853,-0.011580275719705588,-0.09901434378478058,0.1120876,0.9392125,0.7973309217266581,0.6779031310491698
MCF7,MCF7,COL3A1,ITGA2_ITGB1,0.7093189,0.999,0.3973191,-0.025607069839216144,-0.1570109128764754,0.112934195,0.9359152,1.0,0.6779031310491698
MCF7,Fibroblast,COL6A2,CD44,0.7945399,0.996,0.615546,-0.012204548726790845,0.024489682336651608,0.11531188,0.9478564,1.0,0.6779031310491698
MCF7,MCF7,COL1A2,ITGA2_ITGB1,1.526631,1.0,1.0250605,-0.04491827016525799,-0.20462212990892148,0.1107898,0.9591132,1.0,0.6826566616333489
MCF7,Fibroblast,FN1,CD44,0.79784644,0.941,0.61997044,-0.00711366866900487,0.03626683803759034,0.114924364,0.94803315,0.36737129743022745,0.6931935942022991
Fibroblast,Fibroblast,FN1,CD44,0.8152814,0.0,0.6433002,0.002956192434335137,0.1836249860848176,0.11924901,0.9489356,0.03650941875554948,0.7087122687949535
MCF7,Fibroblast,FN1,ITGA2,0.6740804,0.956,0.39059663,-0.007303943562656069,0.030445429398194168,0.12118386,0.93540156,0.39240830544361727,0.7087122687949535
Fibroblast,MCF7,COL4A1,CD44,0.66856146,0.998,0.44395894,-0.013896540716324606,0.03172750715729866,0.11189867,0.93916434,1.0,0.7087122687949535
MCF7,MCF7,COL4A2,ITGA2_ITGB1,0.4530648,1.0,0.20050162,-0.02415461233008745,-0.19154426032929406,0.11452857,0.9120847,1.0,0.7120771006283643
Fibroblast,Fibroblast,COL6A3,ITGA2_ITGB1,1.280462,0.0,0.9017983,0.0038889977132220664,0.14174677292078686,0.12993544,0.9565259,0.0017904787924322106,0.7178812711020326
Fibroblast,MCF7,PKM,CD44,0.66483784,1.0,0.439389,-0.01843309887079224,-0.10856472238275283,0.10305041,0.93886805,1.0,0.7244608452805984
MCF10A,Fibroblast,COL6A2,CD44,0.81617886,0.499,0.6445011,0.00024054133420064083,0.047623572345321774,0.120736115,0.9489808,0.027472529789083766,0.7244608452805984
MCF7,Fibroblast,COL6A2,ITGA2_ITGB1,0.67077386,0.998,0.3878091,-0.012394823620442042,0.018668273697255433,0.121592484,0.93518484,0.965925,0.7244608452805984
MCF7,Fibroblast,COL6A3,ITGA2_ITGB1,1.2399216,0.999,0.86762124,-0.014819557533576205,0.07924474206846632,0.12501104,0.9557155,0.8960282767570521,0.735698120905214
MCF10A,MCF7,FN1,ITGA2,0.69228077,0.437,0.3842329,-0.0013409863203220265,-0.07003823336844262,0.11920948,0.9349035,0.39240830544361727,0.7404410141126989
Fibroblast,Fibroblast,COL6A2,CD44,0.82207406,0.0,0.6523894,0.0036303930564944792,0.20178779877379083,0.12221386,0.9492745,0.009064298886688065,0.7404410141126989
Fibroblast,MCF7,TNC,ITGA2,0.45609134,0.993,0.2028262,-0.012327727602859254,-0.003748004333879784,0.11710447,0.9125457,0.9417705621200736,0.7460556174471
MCF10A,Fibroblast,COL6A3,ITGA2_ITGB1,1.2219537,0.905,0.85247374,-0.023111499901264262,-0.0013315905464494904,0.12282852,0.9553413,0.6192779454955266,0.7536468262117135
Fibroblast,Fibroblast,COL6A1,ITGA2_ITGB1,0.6640253,0.0,0.3821199,0.003686133106697188,0.1947384764604334,0.13514024,0.9347355,0.0022818386722218424,0.7566544657447212
MCF7,MCF7,SPARC,ENG,0.98673886,1.0,0.66243255,-0.03994428481056572,-0.18509246880997687,0.0885366,0.94964105,1.0,0.7566544657447212
Fibroblast,MCF7,COL6A3,ITGA2_ITGB1,1.261717,0.979,0.8215918,-0.01148767795728704,-0.06271890469841424,0.11837891,0.9545475,0.7433145594681368,0.7717241250517273
MCF10A,MCF10A,SPARC,ENG,1.1803113,0.004,1.0837678,0.08331281335805821,0.31297776242759534,0.14484963,0.9601913,1.1939075199781435e-05,0.7717241250517273
MCF10A,Fibroblast,FN1,CD44,0.8347919,0.232,0.6694072,0.014225964243838277,0.14024885289015465,0.12408848,0.94989085,0.007354186803253534,0.7731028906301309
MCF7,Fibroblast,COL4A1,CD44,0.6548165,1.0,0.42858207,-0.02218564427055122,-0.041466448916287035,0.10802297,0.9381495,1.0,0.7731028906301309
MCF10A,MCF7,TNC,ITGA2,0.45645827,0.709,0.203108,-0.012057058516326305,-0.1282408096252079,0.11726718,0.9126011,0.8254534475104159,0.7796959872781939
Fibroblast,MCF10A,COL4A1,CD44,0.65413314,0.876,0.42308187,-0.02353712104998308,0.01748323041423583,0.10663666,0.9377737,1.0,0.7897879792223933
MCF7,Fibroblast,SPARC,ENG,0.99906737,1.0,0.700518,-0.03023539252649474,-0.044503199858187736,0.093626864,0.95096105,1.0,0.7897879792223933
Fibroblast,MCF7,COL6A2,ITGA2_ITGB1,0.6795629,0.988,0.37446487,-0.011936557507665825,-0.00849928748480644,0.11740857,0.93411547,0.8710780086742709,0.7897879792223933
Fibroblast,MCF10A,SPARC,ENG,1.1547416,0.0,1.0518516,0.07095670261879868,0.34780478627833933,0.14058392,0.95961607,1.1939075199781435e-05,0.7899263994531647
