Barcode,PrintPattern
s_008um_00444_00629-1,
s_008um_00578_00622-1,Random_3
s_008um_00115_00827-1,Fibroblast_CTRL
s_008um_00320_00234-1,
s_008um_00544_00208-1,Pattern_3
s_008um_00241_00614-1,
s_008um_00641_00785-1,
s_008um_00332_00499-1,
s_008um_00462_00652-1,
s_008um_00070_00795-1,Fibroblast_CTRL
s_008um_00763_00394-1,
s_008um_00825_00408-1,
s_008um_00584_00076-1,
s_008um_00453_00637-1,
s_008um_00501_00748-1,
s_008um_00239_00473-1,
s_008um_00201_00527-1,
s_008um_00307_00515-1,
s_008um_00523_00638-1,Random_3
s_008um_00601_00377-1,
s_008um_00752_00099-1,
s_008um_00170_00466-1,
s_008um_00260_00456-1,
s_008um_00464_00764-1,
s_008um_00699_00596-1,
s_008um_00486_00369-1,
s_008um_00473_00639-1,
s_008um_00706_00749-1,
s_008um_00168_00584-1,
s_008um_00188_00436-1,
s_008um_00092_00262-1,MCF10A_CTRL
s_008um_00705_00031-1,
s_008um_00664_00077-1,
s_008um_00586_00251-1,Pattern_3
s_008um_00150_00776-1,Fibroblast_CTRL
s_008um_00530_00641-1,Random_3
s_008um_00230_00714-1,Fibroblast_CTRL
s_008um_00444_00762-1,
s_008um_00056_00189-1,MCF10A_CTRL
s_008um_00193_00527-1,
s_008um_00398_00032-1,
s_008um_00193_00681-1,Fibroblast_CTRL
s_008um_00563_00252-1,Pattern_3
s_008um_00657_00315-1,
s_008um_00178_00670-1,
s_008um_00708_00492-1,
s_008um_00588_00578-1,Random_3
s_008um_00231_00077-1,
s_008um_00210_00755-1,Fibroblast_CTRL
s_008um_00588_00513-1,
s_008um_00103_00791-1,Fibroblast_CTRL
s_008um_00304_00456-1,
s_008um_00651_00744-1,Random_3
s_008um_00147_00201-1,MCF10A_CTRL
s_008um_00313_00172-1,
s_008um_00202_00799-1,Fibroblast_CTRL
s_008um_00569_00209-1,Pattern_3
s_008um_00756_00113-1,
s_008um_00056_00743-1,Fibroblast_CTRL
s_008um_00191_00667-1,
s_008um_00492_00636-1,
s_008um_00786_00717-1,
s_008um_00447_00618-1,
s_008um_00019_00217-1,MCF10A_CTRL
s_008um_00166_00132-1,
s_008um_00517_00245-1,
s_008um_00165_00223-1,
s_008um_00564_00663-1,Random_3
s_008um_00481_00222-1,
s_008um_00312_00784-1,
s_008um_00686_00302-1,
s_008um_00628_00076-1,
s_008um_00159_00766-1,Fibroblast_CTRL
s_008um_00720_00342-1,
s_008um_00373_00235-1,
s_008um_00662_00791-1,
s_008um_00386_00302-1,
s_008um_00244_00767-1,Fibroblast_CTRL
s_008um_00578_00115-1,Pattern_3
s_008um_00234_00566-1,
s_008um_00419_00096-1,
s_008um_00739_00759-1,
s_008um_00695_00768-1,
s_008um_00556_00077-1,
s_008um_00584_00240-1,Pattern_3
s_008um_00642_00004-1,
s_008um_00127_00266-1,MCF10A_CTRL
s_008um_00360_00087-1,
s_008um_00223_00519-1,
s_008um_00687_00836-1,
s_008um_00327_00143-1,
s_008um_00687_00279-1,Pattern_3
s_008um_00715_00251-1,
s_008um_00667_00118-1,Pattern_3
s_008um_00802_00265-1,
s_008um_00474_00046-1,
s_008um_00001_00133-1,MCF10A_CTRL
s_008um_00548_00606-1,Random_3
s_008um_00186_00545-1,MCF7_CTRL
s_008um_00714_00521-1,
s_008um_00381_00010-1,
s_008um_00739_00558-1,
s_008um_00824_00284-1,
s_008um_00494_00803-1,
s_008um_00384_00348-1,
s_008um_00662_00521-1,
s_008um_00231_00758-1,Fibroblast_CTRL
s_008um_00670_00003-1,
s_008um_00212_00762-1,Fibroblast_CTRL
s_008um_00663_00202-1,Pattern_3
s_008um_00183_00613-1,
s_008um_00617_00274-1,Pattern_3
s_008um_00707_00775-1,
s_008um_00620_00270-1,Pattern_3
s_008um_00335_00104-1,
s_008um_00049_00731-1,Fibroblast_CTRL
s_008um_00654_00216-1,Pattern_3
s_008um_00771_00196-1,
s_008um_00640_00649-1,Random_3
s_008um_00099_00190-1,MCF10A_CTRL
s_008um_00304_00142-1,
s_008um_00752_00596-1,
s_008um_00542_00291-1,
s_008um_00599_00075-1,
s_008um_00486_00240-1,
s_008um_00417_00168-1,
s_008um_00654_00073-1,
s_008um_00597_00834-1,
s_008um_00609_00128-1,Pattern_3
s_008um_00510_00816-1,
s_008um_00755_00035-1,
s_008um_00488_00603-1,
s_008um_00112_00198-1,MCF10A_CTRL
s_008um_00301_00314-1,
s_008um_00221_00473-1,
s_008um_00253_00539-1,MCF7_CTRL
s_008um_00495_00673-1,
s_008um_00413_00265-1,
s_008um_00252_00674-1,
s_008um_00343_00405-1,
s_008um_00617_00546-1,Random_3
s_008um_00505_00142-1,
s_008um_00562_00049-1,
s_008um_00272_00757-1,
s_008um_00532_00259-1,
s_008um_00491_00530-1,
s_008um_00278_00335-1,MCF7_CTRL
s_008um_00643_00306-1,
s_008um_00638_00451-1,
s_008um_00523_00824-1,
s_008um_00749_00019-1,
s_008um_00567_00716-1,Random_3
s_008um_00223_00568-1,MCF7_CTRL
s_008um_00380_00345-1,
s_008um_00721_00682-1,
s_008um_00733_00629-1,
s_008um_00041_00743-1,Fibroblast_CTRL
s_008um_00521_00209-1,
s_008um_00518_00143-1,
s_008um_00506_00293-1,
s_008um_00585_00351-1,
s_008um_00603_00073-1,
s_008um_00646_00471-1,
s_008um_00725_00135-1,
s_008um_00327_00237-1,
s_008um_00540_00784-1,
s_008um_00544_00371-1,
s_008um_00018_00701-1,Fibroblast_CTRL
s_008um_00519_00555-1,Random_3
s_008um_00493_00527-1,
s_008um_00566_00242-1,Pattern_3
s_008um_00570_00195-1,Pattern_3
s_008um_00789_00224-1,
s_008um_00603_00004-1,
s_008um_00474_00257-1,
s_008um_00580_00609-1,Random_3
s_008um_00589_00114-1,Pattern_3
s_008um_00474_00702-1,
s_008um_00443_00644-1,
s_008um_00036_00747-1,Fibroblast_CTRL
s_008um_00700_00579-1,
s_008um_00674_00668-1,
s_008um_00822_00055-1,
s_008um_00602_00264-1,Pattern_3
s_008um_00783_00027-1,
s_008um_00470_00538-1,
s_008um_00230_00307-1,MCF7_CTRL
s_008um_00553_00767-1,
s_008um_00474_00278-1,
s_008um_00363_00804-1,
s_008um_00598_00512-1,
s_008um_00643_00083-1,Pattern_3
s_008um_00624_00568-1,Random_3
s_008um_00597_00209-1,Pattern_3
s_008um_00008_00231-1,MCF10A_CTRL
s_008um_00213_00708-1,Fibroblast_CTRL
s_008um_00646_00796-1,
s_008um_00586_00111-1,Pattern_3
s_008um_00628_00058-1,
s_008um_00394_00176-1,
s_008um_00479_00253-1,
s_008um_00774_00726-1,
s_008um_00076_00593-1,
s_008um_00684_00792-1,
s_008um_00612_00305-1,
s_008um_00762_00380-1,
s_008um_00599_00653-1,Random_3
s_008um_00578_00245-1,Pattern_3
s_008um_00537_00131-1,Pattern_3
s_008um_00730_00501-1,
s_008um_00565_00540-1,
s_008um_00495_00689-1,
s_008um_00361_00331-1,
s_008um_00210_00778-1,Fibroblast_CTRL
s_008um_00766_00631-1,
s_008um_00689_00753-1,
s_008um_00602_00044-1,
s_008um_00078_00177-1,MCF10A_CTRL
s_008um_00142_00783-1,Fibroblast_CTRL
s_008um_00463_00745-1,
s_008um_00645_00572-1,Random_3
s_008um_00674_00334-1,
s_008um_00696_00247-1,
s_008um_00678_00340-1,
s_008um_00203_00795-1,Fibroblast_CTRL
s_008um_00250_00571-1,
